doneChargingTime,EVSEcount,UniqueFee,freeStationCount,paidStationCount,embedding_feature,Hour_of_Day,Day_Of_Week,Day_Of_year,Month_Of_Year,Time_of_day_0_4,Time_of_day_4_8,Time_of_day_8_12,Time_of_day_12_16,Time_of_day_16_20,Time_of_day_20_24,DayCategory,Season,daylightSaving,Smoothed_chargingTimeTotal,Smoothed_energyPriceTotal,lag_1,Smoothed_kWhDeliveredTotal
2019-09-01 05:00:00,1,Paid,0,1,0.12142857141666664,5,6,244,9,0,1,0,0,0,0,WeeekendSunday,4,1,59.996287604011094,0.8114417903392361,4.743950882867506,4.773190648828675
2019-09-01 06:00:00,1,Paid,0,1,0.12142857141666664,6,6,244,9,0,1,0,0,0,0,WeeekendSunday,4,1,31.504480837136562,0.42609364636177965,4.773190648828675,2.5064369191846465
2019-09-01 07:00:00,0,NoFeeApplicable,0,0,0.0,7,6,244,9,0,1,0,0,0,0,WeeekendSunday,4,1,0.3150448083713659,0.0042609364636178,2.5064369191846465,0.025064369191846486
2019-09-01 08:00:00,0,NoFeeApplicable,0,0,0.0,8,6,244,9,0,0,1,0,0,0,WeeekendSunday,4,1,0.0031504480837136616,4.260936463617804e-05,0.025064369191846486,0.00025064369191846506
2019-09-01 09:00:00,0,NoFeeApplicable,0,0,0.0,9,6,244,9,0,0,1,0,0,0,WeeekendSunday,4,1,3.150448083713665e-05,4.260936463617808e-07,0.00025064369191846506,2.5064369191846532e-06
2019-09-01 10:00:00,0,NoFeeApplicable,0,0,0.0,10,6,244,9,0,0,1,0,0,0,WeeekendSunday,4,1,3.1504480837136674e-07,4.260936463617811e-09,2.5064369191846532e-06,2.5064369191846554e-08
2019-09-01 11:00:00,0,NoFeeApplicable,0,0,0.0,11,6,244,9,0,0,1,0,0,0,WeeekendSunday,4,1,3.15044808371367e-09,4.260936463617815e-11,2.5064369191846554e-08,2.5064369191846575e-10
2019-09-01 12:00:00,0,NoFeeApplicable,0,0,0.0,12,6,244,9,0,0,0,1,0,0,WeeekendSunday,4,1,3.150448083713673e-11,4.260936463617819e-13,2.5064369191846575e-10,2.5064369191846596e-12
2019-09-01 13:00:00,0,NoFeeApplicable,0,0,0.0,13,6,244,9,0,0,0,1,0,0,WeeekendSunday,4,1,3.1504480837136757e-13,4.260936463617823e-15,2.5064369191846596e-12,2.506436919184662e-14
2019-09-01 14:00:00,0,NoFeeApplicable,0,0,0.0,14,6,244,9,0,0,0,1,0,0,WeeekendSunday,4,1,3.1504480837136784e-15,4.260936463617827e-17,2.506436919184662e-14,2.5064369191846643e-16
2019-09-01 15:00:00,0,NoFeeApplicable,0,0,0.0,15,6,244,9,0,0,0,1,0,0,WeeekendSunday,4,1,3.1504480837136815e-17,4.2609364636178307e-19,2.5064369191846643e-16,2.5064369191846666e-18
2019-09-01 16:00:00,0,NoFeeApplicable,0,0,0.0,16,6,244,9,0,0,0,0,1,0,WeeekendSunday,4,1,3.150448083713684e-19,4.260936463617834e-21,2.5064369191846666e-18,2.5064369191846688e-20
2019-09-01 17:00:00,0,NoFeeApplicable,0,0,0.0,17,6,244,9,0,0,0,0,1,0,WeeekendSunday,4,1,3.150448083713687e-21,4.2609364636178377e-23,2.5064369191846688e-20,2.506436919184671e-22
2019-09-01 18:00:00,0,NoFeeApplicable,0,0,0.0,18,6,244,9,0,0,0,0,1,0,WeeekendSunday,4,1,3.1504480837136897e-23,4.260936463617842e-25,2.506436919184671e-22,2.506436919184673e-24
2019-09-01 19:00:00,0,NoFeeApplicable,0,0,0.0,19,6,244,9,0,0,0,0,1,0,WeeekendSunday,4,1,3.150448083713693e-25,4.260936463617846e-27,2.506436919184673e-24,2.5064369191846755e-26
2019-09-01 20:00:00,0,NoFeeApplicable,0,0,0.0,20,6,244,9,0,0,0,0,0,1,WeeekendSunday,4,1,3.1504480837136956e-27,4.26093646361785e-29,2.5064369191846755e-26,2.5064369191846778e-28
2019-09-01 21:00:00,0,NoFeeApplicable,0,0,0.0,21,6,244,9,0,0,0,0,0,1,WeeekendSunday,4,1,3.1504480837136984e-29,4.260936463617854e-31,2.5064369191846778e-28,2.5064369191846797e-30
2019-09-01 22:00:00,0,NoFeeApplicable,0,0,0.0,22,6,244,9,0,0,0,0,0,1,WeeekendSunday,4,1,3.150448083713701e-31,4.2609364636178575e-33,2.5064369191846797e-30,2.506436919184682e-32
2019-09-01 23:00:00,0,NoFeeApplicable,0,0,0.0,23,6,244,9,0,0,0,0,0,1,WeeekendSunday,4,1,3.150448083713704e-33,4.2609364636178613e-35,2.506436919184682e-32,2.5064369191846842e-34
2019-09-02 00:00:00,0,NoFeeApplicable,0,0,0.0,0,0,245,9,1,0,0,0,0,0,Holiday: Labor Day,4,1,3.150448083713707e-35,4.260936463617865e-37,2.5064369191846842e-34,2.5064369191846866e-36
2019-09-02 01:00:00,1,Paid,0,1,0.12142857141666664,1,0,245,9,1,0,0,0,0,0,Holiday: Labor Day,4,1,29.714894553266998,0.37434819420900006,2.5064369191846866e-36,2.202051005253
2019-09-02 02:00:00,1,Paid,0,1,0.12142857141666664,2,0,245,9,1,0,0,0,0,0,Holiday: Labor Day,4,1,59.694180434988,0.7514432430515109,2.202051005253,4.420259989241055
2019-09-02 03:00:00,1,Paid,0,1,0.12142857141666664,3,0,245,9,1,0,0,0,0,0,Holiday: Labor Day,4,1,59.996941507498825,0.7552515286966262,4.420259989241055,4.4426616979283295
2019-09-02 04:00:00,1,Paid,0,1,0.12142857141666664,4,0,245,9,0,1,0,0,0,0,Holiday: Labor Day,4,1,22.1489701235553,0.27881549005133416,4.4426616979283295,1.640089835005046
